date,RRP,holiday
2016-11-27,37.00394515,N
2016-11-28,65.39277902,N
2016-11-29,63.42996415,N
2016-11-30,76.02598021,N
2016-12-01,56.01230684,N
2016-12-02,41.49943678,N
2016-12-03,29.20305213,N
2016-12-04,43.73274195,N
2016-12-05,25.29438487,N
2016-12-06,48.41248781,N
2016-12-07,44.72205906,N
2016-12-08,25.85386173,N
2016-12-09,25.11819531,N
2016-12-10,19.31166859,N
2016-12-11,16.39668788,N
2016-12-12,45.15757294,N
2016-12-13,44.69302354,N
2016-12-14,19.91910633,N
2016-12-15,31.14530846,N
2016-12-16,48.8568848,N
2016-12-17,23.57623123,N
2016-12-18,26.49359939,N
2016-12-19,28.68483237,N
2016-12-20,16.12985685,N
2016-12-21,21.34587505,N
2016-12-22,20.97623583,N
2016-12-23,24.32934519,N
2016-12-24,34.69311119,N
2016-12-25,28.64742992,N
2016-12-26,22.91035559,Y
2016-12-27,23.8135374,Y
2016-12-28,40.28250982,N
2016-12-29,47.14500558,N
2016-12-30,24.06507765,N
2016-12-31,17.59822922,N
2017-01-01,25.8467611,Y
2017-01-02,30.61870288,Y
2017-01-03,28.68695469,N
2017-01-04,56.97278071,N
2017-01-05,73.45825987,N
2017-01-06,97.69920084,N
2017-01-07,77.60299799,N
2017-01-08,69.22481073,N
2017-01-09,68.09952522,N
2017-01-10,72.81305685,N
2017-01-11,65.74451094,N
2017-01-12,70.49040546,N
2017-01-13,70.01219456,N
2017-01-14,42.29483485,N
2017-01-15,55.44429634,N
2017-01-16,108.1670628,N
2017-01-17,129.2376575,N
2017-01-18,75.16561944,N
2017-01-19,62.88513035,N
2017-01-20,38.99311604,N
2017-01-21,46.47911443,N
2017-01-22,60.78453185,N
2017-01-23,79.11439769,N
2017-01-24,59.81718215,N
2017-01-25,58.87513245,N
2017-01-26,37.84489775,Y
2017-01-27,69.65718196,N
2017-01-28,74.06254286,N
2017-01-29,76.58688725,N
2017-01-30,96.16858429,N
2017-01-31,58.79126706,N
2017-02-01,66.86330309,N
2017-02-02,82.46801369,N
2017-02-03,87.11101457,N
2017-02-04,80.81731255,N
2017-02-05,113.8703652,N
2017-02-06,92.10179585,N
2017-02-07,69.06961085,N
2017-02-08,135.0612793,N
2017-02-09,156.6995615,N
2017-02-10,213.3394317,N
2017-02-11,97.6080054,N
2017-02-12,19.86511394,N
2017-02-13,69.04132793,N
2017-02-14,90.69389262,N
2017-02-15,79.04437965,N
2017-02-16,112.8870329,N
2017-02-17,93.73260963,N
2017-02-18,49.81815886,N
2017-02-19,53.12020553,N
2017-02-20,93.72670141,N
2017-02-21,103.2484286,N
2017-02-22,78.05783525,N
2017-02-23,102.3617733,N
2017-02-24,98.21079741,N
2017-02-25,45.60929044,N
2017-02-26,56.02642017,N
2017-02-27,96.55007159,N
2017-02-28,99.94563946,N
2017-03-01,86.00399901,N
2017-03-02,85.49844546,N
2017-03-03,73.92929944,N
2017-03-04,77.59564369,N
2017-03-05,45.4607457,N
2017-03-06,56.63414738,N
2017-03-07,57.516139,N
2017-03-08,73.92313207,N
2017-03-09,83.88968655,N
2017-03-10,82.03453762,N
2017-03-11,50.76232609,N
2017-03-12,42.48056056,N
2017-03-13,66.84372206,Y
2017-03-14,101.4423563,N
2017-03-15,102.0122176,N
2017-03-16,87.89402085,N
2017-03-17,70.74607288,N
2017-03-18,68.87709703,N
2017-03-19,121.1220102,N
2017-03-20,184.8234791,N
2017-03-21,112.9036926,N
2017-03-22,77.00028631,N
2017-03-23,97.82305958,N
2017-03-24,118.4496111,N
2017-03-25,138.7947558,N
2017-03-26,147.4805929,N
2017-03-27,118.5621993,N
2017-03-28,121.9056323,N
2017-03-29,133.7982653,N
2017-03-30,115.1902122,N
2017-03-31,145.2190605,N
2017-04-01,99.24918178,N
2017-04-02,92.91573517,N
2017-04-03,106.4521598,N
2017-04-04,122.6614787,N
2017-04-05,142.2804267,N
2017-04-06,126.1819875,N
2017-04-07,101.330421,N
2017-04-08,95.86797769,N
2017-04-09,74.59163318,N
2017-04-10,111.8004887,N
2017-04-11,130.0368734,N
2017-04-12,126.572879,N
2017-04-13,117.5356502,N
2017-04-14,109.7650221,Y
2017-04-15,116.7828491,Y
2017-04-16,95.64640701,Y
2017-04-17,104.5781895,Y
2017-04-18,112.8247059,N
2017-04-19,101.3145524,N
2017-04-20,104.0781031,N
2017-04-21,133.2265993,N
2017-04-22,111.6671228,N
2017-04-23,90.72665105,N
2017-04-24,113.2589368,N
2017-04-25,86.79007255,Y
2017-04-26,100.6986846,N
2017-04-27,145.6827349,N
2017-04-28,120.8095221,N
2017-04-29,100.81967,N
2017-04-30,109.5772954,N
2017-05-01,99.15947403,N
2017-05-02,109.9227693,N
2017-05-03,128.6399556,N
2017-05-04,123.4720662,N
2017-05-05,108.2886014,N
2017-05-06,81.77832735,N
2017-05-07,104.9084029,N
2017-05-08,132.9735336,N
2017-05-09,138.9914155,N
2017-05-10,149.6227486,N
2017-05-11,170.2926448,N
2017-05-12,129.309377,N
2017-05-13,130.3168298,N
2017-05-14,126.9174946,N
2017-05-15,134.6420324,N
2017-05-16,128.3149076,N
2017-05-17,123.8345994,N
2017-05-18,107.8423351,N
2017-05-19,96.44024977,N
2017-05-20,88.1358791,N
2017-05-21,76.78217982,N
2017-05-22,72.93148803,N
2017-05-23,96.83763464,N
2017-05-24,103.2410383,N
2017-05-25,108.5190134,N
2017-05-26,94.69622997,N
2017-05-27,60.86010195,N
2017-05-28,72.34164142,N
2017-05-29,96.084781,N
2017-05-30,95.71447434,N
2017-05-31,120.6492316,N
2017-06-01,113.3116143,N
2017-06-02,96.83774741,N
2017-06-03,107.2457298,N
2017-06-04,109.7429759,N
2017-06-05,101.1322774,N
2017-06-06,97.89246038,N
2017-06-07,105.6961681,N
2017-06-08,110.1268719,N
2017-06-09,99.97713568,N
2017-06-10,97.62212413,N
2017-06-11,87.88338857,N
2017-06-12,101.7060988,Y
2017-06-13,109.9512443,N
2017-06-14,93.58978215,N
2017-06-15,102.837272,N
2017-06-16,107.362224,N
2017-06-17,104.2875868,N
2017-06-18,93.61692763,N
2017-06-19,95.96949334,N
2017-06-20,85.79783203,N
2017-06-21,106.9667247,N
2017-06-22,94.85896751,N
2017-06-23,80.26993871,N
2017-06-24,84.97094445,N
2017-06-25,72.87051538,N
2017-06-26,104.3154945,N
2017-06-27,100.1993406,N
2017-06-28,98.53810322,N
2017-06-29,102.5250395,N
2017-06-30,124.6840444,N
2017-07-01,114.7570772,N
2017-07-02,110.1092823,N
2017-07-03,150.612766,N
2017-07-04,132.5455181,N
2017-07-05,146.1761256,N
2017-07-06,141.6793728,N
2017-07-07,131.2653815,N
2017-07-08,129.135411,N
2017-07-09,115.1296024,N
2017-07-10,123.9739271,N
2017-07-11,148.6794952,N
2017-07-12,117.9532423,N
2017-07-13,106.1487634,N
2017-07-14,111.3949826,N
2017-07-15,136.1065517,N
2017-07-16,102.1491373,N
2017-07-17,99.85163753,N
