date,demand,RRP,school_day,holiday
2015-10-01,124356.415,34.80976299,N,N
2015-10-02,107544.145,38.30698393,N,Y
2015-10-03,100598.55,30.78069241,N,N
2015-10-04,103828.88,36.56069849,N,N
2015-10-05,125194.87,38.97200519,N,N
2015-10-06,127225.245,36.24445144,Y,N
2015-10-07,117282.765,31.59640663,Y,N
2015-10-08,122121.325,36.14098237,Y,N
2015-10-09,126989.905,41.41507492,Y,N
2015-10-10,112604.825,34.80317686,Y,N
2015-10-11,105376.335,29.90281083,Y,N
2015-10-12,120916.215,36.35362381,Y,N
2015-10-13,122830.38,41.49816809,Y,N
2015-10-14,126919.195,45.5634402,Y,N
2015-10-15,130260.37,39.06694868,Y,N
2015-10-16,123985.97,43.80436083,Y,N
2015-10-17,104916.345,29.67361006,Y,N
2015-10-18,100812.04,29.12086757,Y,N
2015-10-19,120795,43.51067632,Y,N
2015-10-20,126655.49,43.3328692,Y,N
2015-10-21,122368.885,39.68189403,Y,N
2015-10-22,121471.64,44.03304646,Y,N
2015-10-23,120420.7,48.1698968,Y,N
2015-10-24,106813.03,32.19205197,Y,N
2015-10-25,102279.745,17.4659695,Y,N
2015-10-26,115297.34,29.39851628,Y,N
2015-10-27,116619.57,31.32939962,Y,N
2015-10-28,122887.41,39.51380992,Y,N
2015-10-29,124222.935,62.32012828,Y,N
2015-10-30,121256.97,35.87555035,Y,N
2015-10-31,106353.44,18.37479011,Y,N
2015-11-01,103629.645,14.68483973,Y,N
2015-11-02,113791.75,25.01784896,Y,N
2015-11-03,101793.035,14.15794771,Y,Y
2015-11-04,120177.945,29.23763309,Y,N
2015-11-05,125985.465,34.57679076,Y,N
2015-11-06,120505.585,30.64286687,Y,N
2015-11-07,104269.79,18.27265483,Y,N
2015-11-08,103793.085,21.09536038,Y,N
2015-11-09,127234.72,35.05480023,Y,N
2015-11-10,121617.28,32.06707648,Y,N
2015-11-11,121566.645,35.22410385,Y,N
2015-11-12,123775.16,38.48525874,Y,N
2015-11-13,117078.585,32.82309665,Y,N
2015-11-14,103646.635,33.56093861,Y,N
2015-11-15,99761.81,28.29807106,Y,N
2015-11-16,124557.225,39.12737374,Y,N
2015-11-17,131442.2,36.02454725,Y,N
2015-11-18,132353.755,60.68023827,Y,N
2015-11-19,138118.705,78.29096807,Y,N
2015-11-20,123412.685,38.02649768,Y,N
2015-11-21,102647.905,27.41362241,Y,N
2015-11-22,98621.62,32.34590077,Y,N
2015-11-23,114406.825,41.36877245,Y,N
2015-11-24,118894.305,48.52152976,Y,N
2015-11-25,124728.875,60.69203392,Y,N
2015-11-26,112907.145,30.49417411,Y,N
2015-11-27,117492.82,40.36654546,Y,N
2015-11-28,105011.195,43.32666084,Y,N
2015-11-29,102162.53,39.12126473,Y,N
2015-11-30,122452.415,45.57726057,Y,N
2015-12-01,117115.62,37.92095899,Y,N
2015-12-02,115230.125,37.4708208,Y,N
2015-12-03,121699.425,43.34422421,Y,N
2015-12-04,129148.52,66.53389405,Y,N
2015-12-05,115606.005,36.90686862,Y,N
2015-12-06,112025.29,36.78833221,Y,N
2015-12-07,129059.645,53.36909872,Y,N
2015-12-08,136800.91,57.53424668,Y,N
2015-12-09,125965.02,49.73700573,Y,N
2015-12-10,125807.495,50.80601367,Y,N
2015-12-11,116597.81,32.02012919,Y,N
