date,demand,RRP,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday
2015-05-16,117136.63,35.11935553,11.3,16.2,10.4,0,Y,N
2015-05-17,111897.085,30.54759947,7.4,20.5,10.3,0,Y,N
2015-05-18,127524.8,39.33371288,7.2,20.4,10.2,0,Y,N
2015-05-19,133235.48,34.03831774,9.9,16.2,3.2,0,Y,N
2015-05-20,127522.71,30.97608603,13.6,18.1,6,2.4,Y,N
2015-05-21,135361.195,35.62199843,10.3,13.6,3.5,6.2,Y,N
2015-05-22,133422.46,34.61410533,9.1,14.1,6.7,0.4,Y,N
2015-05-23,119331.85,31.22698432,10.4,13.3,7.7,0,Y,N
2015-05-24,118783.085,31.49325856,6,15.6,8.6,0,Y,N
2015-05-25,136690.92,51.61033015,7.4,17.1,8.1,0,Y,N
2015-05-26,140886.995,46.40181363,5.4,15.6,6.8,0,Y,N
2015-05-27,133103.37,29.88407137,7.9,18.7,7.4,0,Y,N
2015-05-28,127900.235,26.09688903,13.1,19.7,8.4,0,Y,N
2015-05-29,132338.94,29.80358005,9.5,15.8,6.6,0,Y,N
2015-05-30,114669.79,19.04882579,11,17.3,8,0,Y,N
2015-05-31,113261.26,18.57271408,12.3,16.8,4.9,0,Y,N
2015-06-01,140919.995,36.92812664,5.2,12.2,8.1,8.2,Y,N
2015-06-02,148534.505,59.85603338,7.1,11.4,4.6,4.2,Y,N
2015-06-03,146902.95,50.5626836,8.1,13.6,8.2,0.8,Y,N
2015-06-04,147155.265,33.05028479,4.4,11.3,5.5,0,Y,N
2015-06-05,142625.035,37.96653889,7,15,7,4.2,Y,N
2015-06-06,120128.295,30.18134685,9.2,16.6,6.4,0.2,Y,N
2015-06-07,109609.685,23.38038485,11.2,14.5,6.9,0,Y,N
2015-06-08,110715.815,24.3576365,11.1,18.5,8.2,0,Y,Y
2015-06-09,132854.135,36.71427512,10.3,13.5,8.6,4,Y,N
2015-06-10,144125.525,39.76613747,7.5,13.4,7.1,0,Y,N
2015-06-11,143465.445,37.48182938,5.7,14,8.3,,Y,N
2015-06-12,145005.62,37.53937282,5.2,13.1,6.9,0,Y,N
2015-06-13,123754.55,29.86858815,6,18.2,8,0,Y,N
2015-06-14,119125.62,31.59818231,5.8,17.4,8,0,Y,N
2015-06-15,136054.145,36.01098153,7.1,16.9,6.6,0,Y,N
2015-06-16,139073.785,36.94281938,9.5,16.1,3.3,5,Y,N
2015-06-17,134290.46,39.27859913,11.7,13.8,4.7,0,Y,N
2015-06-18,137073.775,37.45776352,10.7,12.7,4.2,1,Y,N
2015-06-19,139781.245,38.55071374,7,12.4,7.9,0.2,Y,N
2015-06-20,129576.36,41.09768311,4.1,11.6,7.1,0,Y,N
2015-06-21,124910.57,33.90238984,2.2,12.9,8.6,0,Y,N
2015-06-22,140431.36,30.47783118,3.6,14.1,6.2,0,Y,N
2015-06-23,133171.4,30.2380616,9.6,17.6,5.8,0,Y,N
2015-06-24,135407.57,32.21777895,12.2,16,7.7,0,Y,N
2015-06-25,137379.23,33.05483817,9.6,14,6.3,0,Y,N
2015-06-26,135562.075,31.92862512,10.5,16.9,7.1,0,N,N
2015-06-27,124587.43,28.29254035,8,14.1,5,0,N,N
2015-06-28,119277.48,31.00149176,9.6,14.5,4.1,0,N,N
2015-06-29,139468.155,35.77539876,6.9,12.3,5.6,0,N,N
2015-06-30,143170.055,37.6252582,5,14.2,7.9,0,N,N
2015-07-01,138931,29.52094616,7.4,15,6.9,0,N,N
2015-07-02,138972.425,35.6183138,10.3,11.9,7,0.6,N,N
2015-07-03,145713.81,42.62957624,5.9,12,5,2.6,N,N
2015-07-04,130073.27,29.12782527,7.3,10.6,2.8,0,N,N
