date,demand,school_day,holiday
2015-12-16,135930.08,Y,N
2015-12-17,152366.3,Y,N
2015-12-18,158052.89,N,N
2015-12-19,154924.89,N,N
2015-12-20,133421.03,N,N
2015-12-21,113802.21,N,N
2015-12-22,119477.515,N,N
2015-12-23,126553.115,N,N
2015-12-24,134583.25,N,N
2015-12-25,119950.37,N,Y
2015-12-26,95093.295,N,Y
2015-12-27,96394.94,N,N
2015-12-28,100048.44,N,Y
2015-12-29,111647.54,N,N
2015-12-30,128552.135,N,N
2015-12-31,146473.835,N,N
2016-01-01,116040.925,N,Y
2016-01-02,99622.64,N,N
2016-01-03,97656.445,N,N
2016-01-04,110932.505,N,N
2016-01-05,117873.58,N,N
2016-01-06,115064.265,N,N
2016-01-07,112392.695,N,N
2016-01-08,111879.54,N,N
2016-01-09,105482.695,N,N
2016-01-10,113049.145,N,N
2016-01-11,141133.085,N,N
2016-01-12,135006.11,N,N
2016-01-13,160011.075,N,N
2016-01-14,120396.335,N,N
2016-01-15,113244.79,N,N
2016-01-16,103046.17,N,N
2016-01-17,114097.07,N,N
2016-01-18,147817.585,N,N
2016-01-19,148612.37,N,N
2016-01-20,142471.51,N,N
2016-01-21,139450.615,N,N
2016-01-22,129135.185,N,N
2016-01-23,108097.845,N,N
2016-01-24,103396.3,N,N
2016-01-25,112649.6,N,N
2016-01-26,110152.815,N,Y
2016-01-27,133718.035,N,N
2016-01-28,134169.83,Y,N
2016-01-29,123615.21,Y,N
2016-01-30,107579.345,Y,N
2016-01-31,101279.65,Y,N
2016-02-01,121942.895,Y,N
2016-02-02,133989.155,Y,N
2016-02-03,122594.475,Y,N
2016-02-04,119919.605,Y,N
2016-02-05,126330.55,Y,N
2016-02-06,123737.01,Y,N
2016-02-07,124436.81,Y,N
2016-02-08,129327.225,Y,N
2016-02-09,131271.265,Y,N
2016-02-10,132265.005,Y,N
2016-02-11,131003.79,Y,N
2016-02-12,133845.52,Y,N
2016-02-13,120839.995,Y,N
2016-02-14,104364.735,Y,N
2016-02-15,120863.325,Y,N
2016-02-16,117062.035,Y,N
2016-02-17,119481.79,Y,N
2016-02-18,125964.185,Y,N
2016-02-19,122991.66,Y,N
2016-02-20,105911.71,Y,N
2016-02-21,107884.355,Y,N
2016-02-22,130527.325,Y,N
2016-02-23,156924.83,Y,N
2016-02-24,152419.415,Y,N
2016-02-25,138064.855,Y,N
2016-02-26,122575.935,Y,N
2016-02-27,110545.84,Y,N
2016-02-28,105781.985,Y,N
2016-02-29,125400.08,Y,N
2016-03-01,142242.595,Y,N
2016-03-02,145182.98,Y,N
2016-03-03,136226.12,Y,N
2016-03-04,149376.57,Y,N
2016-03-05,124692.315,Y,N
2016-03-06,117707.95,Y,N
2016-03-07,131465.825,Y,N
2016-03-08,160285.015,Y,N
2016-03-09,152599.125,Y,N
2016-03-10,135635.705,Y,N
2016-03-11,141414.35,Y,N
2016-03-12,119690.755,Y,N
2016-03-13,111329.62,Y,N
2016-03-14,105388.57,Y,Y
2016-03-15,123073.98,Y,N
2016-03-16,135047.625,Y,N
2016-03-17,143184.805,Y,N
2016-03-18,118189.72,Y,N
2016-03-19,105484.1,Y,N
2016-03-20,100394.06,Y,N
2016-03-21,117796.715,Y,N
2016-03-22,124081.46,Y,N
2016-03-23,126074.895,Y,N
2016-03-24,125072.73,N,N
2016-03-25,101740.89,N,Y
2016-03-26,102726.745,N,Y
2016-03-27,98324.645,N,Y
2016-03-28,102746.6,N,Y
2016-03-29,118281.13,N,N
2016-03-30,122625.21,N,N
2016-03-31,122964.715,N,N
2016-04-01,116321.6,N,N
2016-04-02,102832.72,N,N
2016-04-03,102084,N,N
2016-04-04,120445.735,N,N
2016-04-05,120371.235,N,N
2016-04-06,125657.125,N,N
2016-04-07,125663.33,N,N
2016-04-08,124266.885,N,N
2016-04-09,109044.9,N,N
2016-04-10,99845.345,N,N
2016-04-11,118614.005,N,N
2016-04-12,123808.76,Y,N
2016-04-13,124686.63,Y,N
2016-04-14,126519.065,Y,N
2016-04-15,124721.485,Y,N
2016-04-16,108525.965,Y,N
2016-04-17,100526.305,Y,N
2016-04-18,123441.82,Y,N
2016-04-19,126846.445,Y,N
2016-04-20,125204.785,Y,N
2016-04-21,125514.14,Y,N
2016-04-22,120124.305,Y,N
2016-04-23,108773.745,Y,N
2016-04-24,105642.28,Y,N
2016-04-25,104072.435,Y,Y
2016-04-26,117437.665,Y,N
2016-04-27,118531.5,Y,N
2016-04-28,126847.02,Y,N
2016-04-29,122054.13,Y,N
2016-04-30,103505.195,Y,N
2016-05-01,98873.535,Y,N
2016-05-02,116969.63,Y,N
2016-05-03,119014.445,Y,N
2016-05-04,124525.185,Y,N
2016-05-05,118192.055,Y,N
2016-05-06,120421.32,Y,N
2016-05-07,106052.64,Y,N
2016-05-08,103487.28,Y,N
2016-05-09,119781.135,Y,N
2016-05-10,119611.88,Y,N
2016-05-11,123616.28,Y,N
2016-05-12,120693.53,Y,N
2016-05-13,118800.07,Y,N
2016-05-14,101945.995,Y,N
2016-05-15,99697.62,Y,N
2016-05-16,121182.695,Y,N
2016-05-17,124209.405,Y,N
2016-05-18,124352.215,Y,N
2016-05-19,124392.29,Y,N
2016-05-20,127705.84,Y,N
2016-05-21,112336.78,Y,N
2016-05-22,101618.98,Y,N
2016-05-23,121424.42,Y,N
2016-05-24,131916.405,Y,N
2016-05-25,132170.05,Y,N
2016-05-26,137080.875,Y,N
2016-05-27,134317.62,Y,N
2016-05-28,119938.795,Y,N
2016-05-29,118751.965,Y,N
2016-05-30,134983.955,Y,N
2016-05-31,140402.15,Y,N
2016-06-01,141195.03,Y,N
2016-06-02,141292.56,Y,N
2016-06-03,137717.255,Y,N
2016-06-04,122764.33,Y,N
2016-06-05,116052.805,Y,N
2016-06-06,134829.755,Y,N
2016-06-07,135306.005,Y,N
2016-06-08,137305.355,Y,N
2016-06-09,132859.305,Y,N
2016-06-10,132209.515,Y,N
2016-06-11,120753.43,Y,N
2016-06-12,122771.53,Y,N
2016-06-13,122106.95,Y,Y
2016-06-14,138466.56,Y,N
2016-06-15,140904.59,Y,N
2016-06-16,140741.165,Y,N
2016-06-17,138023.11,Y,N
2016-06-18,123162.185,Y,N
2016-06-19,119662.165,Y,N
2016-06-20,134435.115,Y,N
2016-06-21,137511.315,Y,N
2016-06-22,133813.285,Y,N
2016-06-23,136740.005,Y,N
2016-06-24,144658.38,N,N
2016-06-25,131730.835,N,N
2016-06-26,126455.935,N,N
2016-06-27,148639.995,N,N
2016-06-28,142146.31,N,N
2016-06-29,136071.965,N,N
2016-06-30,141078.46,N,N
2016-07-01,136676.715,N,N
2016-07-02,118683.565,N,N
2016-07-03,112556.405,N,N
2016-07-04,135712.245,N,N
2016-07-05,142401.795,N,N
2016-07-06,134056.095,N,N
2016-07-07,138768.045,N,N
2016-07-08,136690.05,N,N
2016-07-09,122369.535,N,N
2016-07-10,119218.23,N,N
2016-07-11,128207.125,N,N
2016-07-12,137582.195,Y,N
2016-07-13,145728.26,Y,N
2016-07-14,144103.705,Y,N
2016-07-15,141166.85,Y,N
2016-07-16,120659.15,Y,N
2016-07-17,113418.125,Y,N
2016-07-18,127367.015,Y,N
2016-07-19,137028.05,Y,N
2016-07-20,136850.14,Y,N
2016-07-21,136127.125,Y,N
2016-07-22,128777.82,Y,N
2016-07-23,119888.575,Y,N
2016-07-24,120126.905,Y,N
2016-07-25,138134.635,Y,N
2016-07-26,146465.69,Y,N
2016-07-27,143209.755,Y,N
2016-07-28,142341.635,Y,N
2016-07-29,139822.93,Y,N
2016-07-30,121548.535,Y,N
2016-07-31,114481.28,Y,N
2016-08-01,137934.845,Y,N
2016-08-02,137301.69,Y,N
2016-08-03,140922.715,Y,N
2016-08-04,142671.51,Y,N
2016-08-05,145491.33,Y,N
2016-08-06,130907.095,Y,N
2016-08-07,120379.285,Y,N
2016-08-08,138506.45,Y,N
2016-08-09,132819.535,Y,N
2016-08-10,130616.67,Y,N
2016-08-11,138368.4,Y,N
2016-08-12,134885.67,Y,N
2016-08-13,120382.805,Y,N
2016-08-14,113066.245,Y,N
2016-08-15,127906.24,Y,N
2016-08-16,124975.11,Y,N
2016-08-17,132561.22,Y,N
2016-08-18,123434.505,Y,N
2016-08-19,132569.74,Y,N
2016-08-20,121052.06,Y,N
2016-08-21,119118.545,Y,N
2016-08-22,139203.5,Y,N
2016-08-23,138640.39,Y,N
2016-08-24,141122.795,Y,N
2016-08-25,139724.025,Y,N
2016-08-26,139920.545,Y,N
2016-08-27,119573.22,Y,N
2016-08-28,114832.425,Y,N
2016-08-29,125055.69,Y,N
2016-08-30,133748.44,Y,N
2016-08-31,128834.065,Y,N
2016-09-01,134246.165,Y,N
2016-09-02,135273.325,Y,N
2016-09-03,118621.96,Y,N
2016-09-04,110986.005,Y,N
2016-09-05,127275.815,Y,N
2016-09-06,129542.365,Y,N
2016-09-07,123307.02,Y,N
2016-09-08,117722.95,Y,N
2016-09-09,125432.605,Y,N
2016-09-10,111412.995,Y,N
2016-09-11,109125.215,Y,N
2016-09-12,130967.28,Y,N
2016-09-13,134720.155,Y,N
2016-09-14,130650.88,Y,N
2016-09-15,134234.45,Y,N
2016-09-16,131734.105,N,N
2016-09-17,106709.54,N,N
2016-09-18,110314.625,N,N
2016-09-19,127391.09,N,N
2016-09-20,122664.305,N,N
2016-09-21,127208.57,N,N
2016-09-22,131357.34,N,N
2016-09-23,127420.43,N,N
2016-09-24,106776.275,N,N
2016-09-25,105931.555,N,N
2016-09-26,124343.19,N,N
2016-09-27,126888.77,N,N
2016-09-28,121143.25,N,N
2016-09-29,122858.49,N,N
2016-09-30,113439.775,N,Y
2016-10-01,109181.26,N,N
2016-10-02,97992.93,N,N
2016-10-03,115839.01,N,N
2016-10-04,124089.47,Y,N
2016-10-05,128558.385,Y,N
2016-10-06,115898.54,Y,N
2016-10-07,116197.73,Y,N
2016-10-08,101300.775,Y,N
2016-10-09,94954.16,Y,N
2016-10-10,116831.43,Y,N
2016-10-11,124665.82,Y,N
2016-10-12,128612.3,Y,N
2016-10-13,128242.765,Y,N
2016-10-14,121731.485,Y,N
2016-10-15,97887.485,Y,N
2016-10-16,101793.035,Y,N
2016-10-17,116042.845,Y,N
2016-10-18,123265.44,Y,N
2016-10-19,126362.045,Y,N
2016-10-20,114867.16,Y,N
2016-10-21,122975.285,Y,N
2016-10-22,114184.195,Y,N
2016-10-23,111289,Y,N
2016-10-24,125270.165,Y,N
2016-10-25,117138.355,Y,N
2016-10-26,121605.395,Y,N
2016-10-27,120142.43,Y,N
2016-10-28,119820.71,Y,N
2016-10-29,104191.105,Y,N
2016-10-30,94325.72,Y,N
2016-10-31,110661.43,Y,N
2016-11-01,104976.21,Y,Y
2016-11-02,119904.48,Y,N
2016-11-03,118677.495,Y,N
2016-11-04,113666.485,Y,N
2016-11-05,101810.75,Y,N
2016-11-06,96934.925,Y,N
2016-11-07,116230.34,Y,N
2016-11-08,117794.595,Y,N
2016-11-09,122131.115,Y,N
2016-11-10,122634.53,Y,N
2016-11-11,117953.885,Y,N
2016-11-12,99907.32,Y,N
2016-11-13,96805.925,Y,N
2016-11-14,116817.15,Y,N
2016-11-15,119905.59,Y,N
2016-11-16,122146.66,Y,N
2016-11-17,122464.645,Y,N
2016-11-18,121441.05,Y,N
2016-11-19,106868.5,Y,N
2016-11-20,112098.335,Y,N
2016-11-21,138681.815,Y,N
2016-11-22,126617.72,Y,N
2016-11-23,118119.01,Y,N
2016-11-24,120308.545,Y,N
2016-11-25,116011.565,Y,N
2016-11-26,104700.055,Y,N
2016-11-27,102718.9,Y,N
2016-11-28,118666.37,Y,N
2016-11-29,119169.17,Y,N
2016-11-30,121067.59,Y,N
2016-12-01,113024.02,Y,N
2016-12-02,109318.355,Y,N
2016-12-03,98899.495,Y,N
2016-12-04,97300.36,Y,N
2016-12-05,109670,Y,N
2016-12-06,111228.06,Y,N
2016-12-07,112738.08,Y,N
2016-12-08,105445.65,Y,N
2016-12-09,105664.09,Y,N
2016-12-10,98622.865,Y,N
2016-12-11,93673.19,Y,N
2016-12-12,120390.11,Y,N
2016-12-13,128831.65,Y,N
2016-12-14,111423.765,Y,N
2016-12-15,107072.36,Y,N
2016-12-16,113698.06,Y,N
2016-12-17,90227.48,Y,N
2016-12-18,90911.085,Y,N
2016-12-19,109260.305,Y,N
2016-12-20,106451.255,N,N
2016-12-21,104389.51,N,N
2016-12-22,105513.235,N,N
2016-12-23,112247.945,N,N
2016-12-24,114843.875,N,N
2016-12-25,114468.17,N,N
2016-12-26,106284.83,N,Y
2016-12-27,99701.43,N,Y
2016-12-28,123693.52,N,N
2016-12-29,135571.795,N,N
2016-12-30,112141.83,N,N
2016-12-31,95728.15,N,N
2017-01-01,89403.145,N,Y
2017-01-02,86507.47,N,Y
2017-01-03,97564.745,N,N
2017-01-04,116606.795,N,N
2017-01-05,128079.845,N,N
2017-01-06,136308.735,N,N
2017-01-07,134955.02,N,N
2017-01-08,122777.025,N,N
2017-01-09,116211.99,N,N
2017-01-10,120366.32,N,N
2017-01-11,111595.855,N,N
2017-01-12,118783.945,N,N
2017-01-13,111341.675,N,N
2017-01-14,88996.625,N,N
2017-01-15,90294,N,N
2017-01-16,120928.705,N,N
2017-01-17,140517.65,N,N
2017-01-18,111211.35,N,N
2017-01-19,112371.41,N,N
2017-01-20,107937.685,N,N
2017-01-21,96779.07,N,N
2017-01-22,103291.61,N,N
2017-01-23,141332.055,N,N
2017-01-24,115664.16,N,N
2017-01-25,111936.7,N,N
2017-01-26,98590.06,N,Y
2017-01-27,112513.82,N,N
2017-01-28,108336.53,N,N
2017-01-29,109020.58,N,N
2017-01-30,124292.955,N,N
2017-01-31,112863.01,Y,N
2017-02-01,114133.73,Y,N
2017-02-02,110669.27,Y,N
2017-02-03,117452.27,Y,N
2017-02-04,117361.7,Y,N
2017-02-05,110384.275,Y,N
2017-02-06,108761.37,Y,N
2017-02-07,111543.81,Y,N
2017-02-08,142213.66,Y,N
2017-02-09,155060.61,Y,N
2017-02-10,138793.59,Y,N
2017-02-11,111983.51,Y,N
2017-02-12,89003.15,Y,N
2017-02-13,104844.105,Y,N
2017-02-14,111613.05,Y,N
2017-02-15,116299.39,Y,N
2017-02-16,119947.59,Y,N
2017-02-17,111885.97,Y,N
2017-02-18,95623.35,Y,N
2017-02-19,91280.025,Y,N
2017-02-20,105341.865,Y,N
2017-02-21,112351.47,Y,N
2017-02-22,116690.17,Y,N
2017-02-23,117948.685,Y,N
2017-02-24,111229.52,Y,N
2017-02-25,95046.905,Y,N
2017-02-26,100495.615,Y,N
2017-02-27,131090.775,Y,N
2017-02-28,140167.5,Y,N
2017-03-01,137291.97,Y,N
2017-03-02,127633.275,Y,N
2017-03-03,124311.33,Y,N
2017-03-04,116083.295,Y,N
2017-03-05,103539.02,Y,N
2017-03-06,116447.855,Y,N
2017-03-07,117931.46,Y,N
2017-03-08,124370.765,Y,N
2017-03-09,129649.25,Y,N
2017-03-10,125346.075,Y,N
2017-03-11,108816.81,Y,N
2017-03-12,102617.51,Y,N
2017-03-13,104468.9,Y,Y
2017-03-14,133227.785,Y,N
2017-03-15,139672.835,Y,N
2017-03-16,124255.975,Y,N
2017-03-17,111612.075,Y,N
2017-03-18,107731.78,Y,N
2017-03-19,113593.82,Y,N
2017-03-20,131980.985,Y,N
2017-03-21,127625.365,Y,N
2017-03-22,114696.37,Y,N
2017-03-23,111632.835,Y,N
2017-03-24,115411.41,Y,N
2017-03-25,107465.98,Y,N
2017-03-26,104189.1,Y,N
2017-03-27,116237.22,Y,N
2017-03-28,111032.975,Y,N
2017-03-29,109640.33,Y,N
2017-03-30,107491.87,Y,N
2017-03-31,110662.245,N,N
2017-04-01,97402.265,N,N
2017-04-02,94477.095,N,N
2017-04-03,107895.525,N,N
2017-04-04,113138.67,N,N
2017-04-05,114191.35,N,N
2017-04-06,114817.305,N,N
2017-04-07,110160.025,N,N
2017-04-08,99084.74,N,N
2017-04-09,96041.895,N,N
2017-04-10,113287.055,N,N
2017-04-11,114159.965,N,N
2017-04-12,114335.995,N,N
